2018-04-29 00:22:16 INFO  TestClass:38 - Chrome launched success
2018-05-08 12:48:52 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 12:48:52 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 12:48:52 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 12:58:51 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 12:58:51 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 12:58:51 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 12:58:54 INFO  TestClass:48 - Chrome launched success
2018-05-08 12:59:02 INFO  TestClass:73 - Browser closed.................
2018-05-08 12:59:03 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 12:59:03 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 12:59:03 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 17:02:39 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:02:39 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:02:39 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:02:43 INFO  TestClass:48 - Chrome launched success
2018-05-08 17:02:50 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:02:51 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 17:02:51 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 17:02:51 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 17:03:12 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:03:12 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:03:12 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:03:31 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:04:00 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:04:00 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:04:00 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:04:30 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:06:51 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:06:51 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:06:51 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:06:55 INFO  TestClass:48 - Chrome launched success
2018-05-08 17:09:17 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:09:17 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:09:17 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:09:20 INFO  TestClass:48 - Chrome launched success
2018-05-08 17:23:29 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:23:29 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
